[header]
width=5
height=1200
tilewidth=40
tileheight=40
orientation=orthogonal

[tilesets]
tileset=../../../../../../rollingsky/client/Tiled/tileMap1600.png,40,40,0,0

[layer]
type=块层 1
data=
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
185,186,186,186,185,
162,3,1,3,162,
0,1,1,1,0,
0,1,1,1,0,
0,1,1,1,0,
0,1,982,1,0,
0,1,1,1,0,
0,1,1,1,0,
162,3,1,3,162,
1,1,1,1,1,
1,1,0,1,1,
1,0,0,0,1,
181,181,181,181,181,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,0,6,0,0,
0,0,985,67,0,
0,0,6,0,65,
0,0,0,0,0,
0,0,1,0,65,
0,0,1,0,0,
0,0,61,1,985,
0,1,1,6,0,
1,1,6,0,0,
1,6,0,0,0,
28,28,28,0,0,
0,28,28,28,0,
0,0,0,0,0,
181,181,181,181,181,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
0,994,0,994,0,
0,0,0,0,0,
993,0,2,0,993,
0,0,0,0,0,
0,0,994,0,0,
0,0,0,0,0,
985,2,0,2,985,
0,27,0,27,0,
0,27,0,27,0,
0,27,988,27,0,
0,27,0,27,0,
0,27,0,27,0,
0,0,0,0,0,
181,181,181,181,181,
0,0,0,0,0,
219,0,0,0,219,
27,27,0,27,27,
0,28,0,28,0,
27,27,0,27,27,
1,1,1,1,1,
1,1,984,1,1,
1,1,1,1,1,
1,7,7,7,1,
0,7,989,7,0,
0,7,7,7,0,
1,1,1,1,1,
0,989,1,989,0,
0,0,1,0,0,
181,181,181,181,181,
0,0,0,0,0,
2,0,0,0,994,
7,7,0,0,0,
0,7,7,0,0,
0,0,0,67,0,
0,0,0,0,65,
994,0,0,0,0,
0,0,0,0,65,
0,0,2,0,0,
0,0,7,0,65,
0,1,64,1,0,
0,0,7,0,0,
985,7,7,7,985,
7,7,0,7,7,
0,0,0,0,0,
1,1,0,1,1,
61,989,0,989,61,
1,1,0,1,1,
183,183,181,183,183,
0,27,0,27,0,
1,1,0,1,1,
28,0,0,0,27,
6,0,0,0,6,
0,6,0,6,0,
0,0,6,0,0,
0,0,262,223,0,
994,2,222,2,994,
0,0,993,0,0,
0,0,0,0,0,
0,0,2,223,0,
2,222,0,222,2,
6,994,993,994,6,
6,0,0,0,6,
1,0,2,223,1,
1,1,0,1,1,
1,1,986,1,1,
2,1,222,1,2,
0,1,0,1,0,
181,181,181,181,181,
0,0,0,0,0,
0,1,2,1,222,
0,994,1,994,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,7,7,7,0,
1,1002,1,1,1,
0,7,7,7,0,
1,1002,1,1,1,
0,7,7,7,0,
1,1,1,1,1001,
0,7,7,7,0,
1,1,1,1,1001,
0,7,7,7,0,
182,182,182,182,182,
1,1,1,1,1,
1,1,984,1,1,
1,1,1,1,1,
0,1,1,1,0,
0,0,1,0,0,
0,0,0,0,0,
994,0,0,0,994,
0,0,0,0,0,
0,2,0,2,0,
0,0,1,0,0,
0,1,61,1,0,
0,986,1,986,0,
0,0,0,0,0,
181,181,181,181,181,
0,0,0,0,0,
2,0,0,0,0,
1,6,0,0,0,
0,1,6,0,0,
0,0,1,6,0,
0,0,0,1,6,
989,1,68,0,0,
0,0,0,0,0,
0,0,1,61,0,
0,0,6,6,0,
0,0,0,1,1,
0,0,1,1,0,
0,1,1,0,0,
1,1,986,0,0,
0,1,1,0,0,
0,0,1,0,0,
0,0,0,0,0,
181,181,181,181,181,
0,0,0,0,0,
2,0,0,0,2,
1,1,0,1,1,
986,1,0,1,986,
1,1,0,1,1,
1,0,0,0,1,
0,0,994,0,0,
0,0,0,0,0,
0,989,0,989,0,
2,1,0,1,2,
0,0,0,0,0,
181,181,181,181,181,
0,0,0,0,0,
0,0,2,0,0,
0,1,1,0,0,
0,28,0,0,0,
0,1,1,0,0,
0,7,7,0,994,
0,1,1,0,0,
0,0,27,0,0,
0,1,1,0,0,
